Деталь;Номинал;Корпус;Вывод;Цепь;Соединён с
"BZ1";"";"Зуммер Ø12";"1 (+)";"5V";"C1.1 (+), J4.1 (VS), J5.1 (VCC), J6.1 (VCC), M5.1 (+Vo), U1.15 (VIN)"
"BZ1";"";"Зуммер Ø12";"2 (-)";"BZ_C";"Q1.3"
"C1";"470µ";"Электролит Ø8";"1 (+)";"5V";"BZ1.1 (+), J4.1 (VS), J5.1 (VCC), J6.1 (VCC), M5.1 (+Vo), U1.15 (VIN)"
"C1";"470µ";"Электролит Ø8";"2 (-)";"GND";"C2.2, C3.2 (-), J1.2 (GND), J2.2 (GND), J3.2 (GND), J4.2 (GND), J5.2 (GND), J6.2 (GND), J7.2 (GND), J8.2 (GND), J9.7 (GND), J10.2 (−), M1.2 (GND), M1.5 (ADDR), M2.6 (GND), M3.1 (GND), M4.1 (GND), M5.2 (-Vo), M6.2 (-Vo), Q1.1, R6.2, R8.2, R10.2, U1.14 (GND), U1.17 (GND), U2.2, U3.2"
"C2";"100n";"Диск Ø6, 5";"1";"BTN";"R15.2, R16.1, R17.1, R18.1, R19.1, R20.1, R21.1, U1.5 (D35)"
"C2";"100n";"Диск Ø6, 5";"2";"GND";"C1.2 (-), C3.2 (-), J1.2 (GND), J2.2 (GND), J3.2 (GND), J4.2 (GND), J5.2 (GND), J6.2 (GND), J7.2 (GND), J8.2 (GND), J9.7 (GND), J10.2 (−), M1.2 (GND), M1.5 (ADDR), M2.6 (GND), M3.1 (GND), M4.1 (GND), M5.2 (-Vo), M6.2 (-Vo), Q1.1, R6.2, R8.2, R10.2, U1.14 (GND), U1.17 (GND), U2.2, U3.2"
"C3";"470µ";"Электролит Ø8";"1 (+)";"5VD";"J8.1 (+5V), M6.1 (+Vo)"
"C3";"470µ";"Электролит Ø8";"2 (-)";"GND";"C1.2 (-), C2.2, J1.2 (GND), J2.2 (GND), J3.2 (GND), J4.2 (GND), J5.2 (GND), J6.2 (GND), J7.2 (GND), J8.2 (GND), J9.7 (GND), J10.2 (−), M1.2 (GND), M1.5 (ADDR), M2.6 (GND), M3.1 (GND), M4.1 (GND), M5.2 (-Vo), M6.2 (-Vo), Q1.1, R6.2, R8.2, R10.2, U1.14 (GND), U1.17 (GND), U2.2, U3.2"
"F1";"0,5А";"Держатель 5×20";"1";"AC_L";"F2.1, J13.1"
"F1";"0,5А";"Держатель 5×20";"2";"AC_L1";"M5.3 (AC), RV1.1"
"F2";"0,5А";"Держатель 5×20";"1";"AC_L";"F1.1, J13.1"
"F2";"0,5А";"Держатель 5×20";"2";"AC_L2";"M6.3 (AC), RV2.1"
"J1";"Диммер";"Диммер";"1 (VCC)";"3V3";"J2.1 (VDD), J3.1 (VDD), J7.1 (VCC), M1.1 (VDD), M2.5 (VCC), M3.2 (VCC), M4.2 (VCC), R11.1, R12.1, R13.1, R14.1, R15.1, U1.16 (3V3)"
"J1";"Диммер";"Диммер";"2 (GND)";"GND";"C1.2 (-), C2.2, C3.2 (-), J2.2 (GND), J3.2 (GND), J4.2 (GND), J5.2 (GND), J6.2 (GND), J7.2 (GND), J8.2 (GND), J9.7 (GND), J10.2 (−), M1.2 (GND), M1.5 (ADDR), M2.6 (GND), M3.1 (GND), M4.1 (GND), M5.2 (-Vo), M6.2 (-Vo), Q1.1, R6.2, R8.2, R10.2, U1.14 (GND), U1.17 (GND), U2.2, U3.2"
"J1";"Диммер";"Диммер";"3 (ZC)";"ZC";"U1.20 (D4)"
"J1";"Диммер";"Диммер";"4 (CH1)";"";""
"J1";"Диммер";"Диммер";"5 (CH2)";"";""
"J1";"Диммер";"Диммер";"6 (CH3)";"V1";"U1.10 (D27)"
"J1";"Диммер";"Диммер";"7 (CH4)";"V2";"U1.11 (D14)"
"J2";"SDP 500";"SDP 500";"1 (VDD)";"3V3";"J1.1 (VCC), J3.1 (VDD), J7.1 (VCC), M1.1 (VDD), M2.5 (VCC), M3.2 (VCC), M4.2 (VCC), R11.1, R12.1, R13.1, R14.1, R15.1, U1.16 (3V3)"
"J2";"SDP 500";"SDP 500";"2 (GND)";"GND";"C1.2 (-), C2.2, C3.2 (-), J1.2 (GND), J3.2 (GND), J4.2 (GND), J5.2 (GND), J6.2 (GND), J7.2 (GND), J8.2 (GND), J9.7 (GND), J10.2 (−), M1.2 (GND), M1.5 (ADDR), M2.6 (GND), M3.1 (GND), M4.1 (GND), M5.2 (-Vo), M6.2 (-Vo), Q1.1, R6.2, R8.2, R10.2, U1.14 (GND), U1.17 (GND), U2.2, U3.2"
"J2";"SDP 500";"SDP 500";"3 (SCL)";"SCL1";"M1.3 (SCL), M2.3 (SCL), R12.2, U1.29 (D22)"
